location,window_days,forecast_peak_precip_mm_mean,forecast_peak_precip_mm_min,forecast_peak_precip_mm_max,gev_return_period_years_mean,gev_return_period_years_min,gev_return_period_years_max,pct_members_above_10yr_return,event_name,init_date
Houston,1,39.10513129085302,16.70185662806034,57.23469331860542,1.533634119117298,1.005406476300577,2.6672053764738597,0.0,Hurricane Harvey (Houston),2017-08-23
Houston,3,85.79356335103512,31.04190155863762,166.19080305099487,14.052954199007065,1.0125027449703987,117.897706674546,10.0,Hurricane Harvey (Houston),2017-08-23
Houston,5,99.68991279602051,44.0385676920414,186.27586960792542,9.037503132718513,1.0289815624908543,66.26046617112546,20.0,Hurricane Harvey (Houston),2017-08-23
BatonRouge,1,65.81109315156937,41.8393537402153,83.34488421678543,1.7446063028143797,1.4033515403227206,2.0941117106784395,0.0,2016 Louisiana Floods (Baton Rouge),2016-08-10
BatonRouge,3,163.1053127348423,105.77204078435898,194.51084733009338,29.658171476327073,2.208989057852423,83.52516526134809,80.0,2016 Louisiana Floods (Baton Rouge),2016-08-10
BatonRouge,5,205.68914413452148,144.9074000120163,271.07787132263184,82.87920693702702,3.551150159162211,452.62199913716137,80.0,2016 Louisiana Floods (Baton Rouge),2016-08-10
Abbotsford,1,32.47414939105511,23.733405396342278,38.995981216430664,1.9023857337565027,1.101921560260866,2.8697605934370554,0.0,Nov 2021 Pacific NW Floods (Abbotsford),2021-11-12
Abbotsford,3,57.41671193391085,31.18363954126835,74.96359944343567,1.8159266655024655,1.0095636237698307,3.215276537765368,0.0,Nov 2021 Pacific NW Floods (Abbotsford),2021-11-12
Abbotsford,5,74.94763694703579,33.65868702530861,104.26127910614014,2.0904403867440786,1.0024064536202084,4.644998316970968,0.0,Nov 2021 Pacific NW Floods (Abbotsford),2021-11-12
